mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength
0.0,0.0,0.0,0.0,500.0
0.0,0.0,0.0,0.0,504.0
0.0,0.0,0.0,0.0,508.0
0.0,0.0,0.0,0.0,512.0
0.0,0.0,0.0,0.0,516.0
0.0,0.0,0.0,0.0,520.0
0.0,0.0,0.0,0.0,524.0
0.0,0.0,0.0,0.0,528.0
0.0,0.0,0.0,0.0,532.0
0.0,0.0,0.0,0.0,536.0
0.0,0.0,0.0,0.0,540.0
0.0,0.0,0.0,0.0,544.0
0.0,0.0,0.0,0.0,548.0
0.0,0.0,0.0,0.0,552.0
0.0,0.0,0.0,0.0,556.0
0.0,0.0,0.0,0.0,560.0
0.0,0.0,0.0,0.0,564.0
0.0,0.0,0.0,0.0,568.0
0.0,0.0,0.0,0.0,572.0
0.0,0.0,0.0,0.0,576.0
0.0,0.0,0.0,0.0,580.0
0.0,0.0,0.0,0.0,584.0
0.0,0.0,0.0,0.0,588.0
0.0,0.0,0.0,0.0,592.0
0.0,0.0,0.0,0.0,596.0
0.0,0.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0,604.0
0.0,0.0,0.0,0.0,608.0
0.0,0.0,0.0,0.0,612.0
0.0,0.0,0.0,0.0,616.0
0.0,0.0,0.0,0.0,620.0
0.0,0.0,0.0,0.0,624.0
0.0,0.0,0.0,0.0,628.0
-3.64751935005188,1.0,0.0,,632.0
0.8162373345611351,28.0,0.4347622432314495,0.5575226160422737,636.0
0.5829236374961005,27.0,0.376316545839707,0.4466651446070326,640.0
0.1958791282441881,27.0,0.34513786251226086,0.3192882376562592,644.0
0.5034260322098378,27.0,0.32506750429834924,0.3209914648085697,648.0
0.03257625660410634,27.0,0.27675902534826136,0.3883108041110123,652.0
0.4673327746299597,26.0,0.25422560935385347,0.3270320841388016,656.0
0.42505210362098833,27.0,0.2249615752651888,0.21330409105984902,660.0
0.1659910135830824,26.0,0.20681823655198894,0.16054780106584585,664.0
0.3258059471845627,26.0,0.20510482445269737,0.16360331375879236,668.0
-0.07652142608108428,26.0,0.1778102965211213,0.24938598748341517,672.0
0.22496956146698302,26.0,0.1567495874753418,0.16859471109783764,676.0
0.19834633994847536,25.0,0.15637998346849794,0.18968798405988002,680.0
0.42224460392473984,26.0,0.14266667822085694,0.12981604568421948,684.0
0.03864988833665848,25.0,0.1431570938560389,0.10620493163286482,688.0
0.2773573769990242,33.0,0.2882095816133376,0.18974708767684353,692.0
-0.08843919934303153,51.0,0.2873142163034037,0.21351512818336726,696.0
0.13952955248532817,48.0,0.2709936715020777,0.23110930241907165,700.0
0.0022190115600824356,50.0,0.22914150302295525,0.14749458883688388,704.0
0.05014230385422706,50.0,0.1956296556022378,0.14312877376693162,708.0
